name,z,sig_5007,er_sig_5007,logLHb,er_logLHb,ewhb,er_ewhb
UM382       , 0.0121, 18.0, 0.72, 39.37, 0.02, 134.9, 1.5
UM396       , 0.0208, 26.9, 0.15, 40.03, 0.07, 153.1, 1.5
UM417       , 0.0087, 14.8, 0.17, 38.72, 0.07,  46.5, 1.5
CTS1004     , 0.0473, 43.1, 0.06, 40.75, 0.02,  77.3, 1.5
CTS1005     , 0.0744, 43.4, 0.10, 41.34, 0.02, 133.7, 1.5
CTS1006     , 0.0207, 33.8, 0.04, 40.76, 0.02,  69.8, 1.5
CTS1008     , 0.0611, 44.3, 0.38, 41.35, 0.03, 139.6, 1.5
Tol0510-400 , 0.0413, 30.9, 0.43, 40.75, 0.03,  64.0, 1.5
Tol0633-415 , 0.0164, 30.6, 0.06, 40.63, 0.07,  83.0, 1.5
Cam0840+1201, 0.0294, 34.3, 0.04, 40.91, 0.04, 104.7, 1.5
Tol1008-286 , 0.0138, 24.8, 0.03, 40.62, 0.11, 122.7, 1.5
CTS1011     , 0.0121, 20.5, 0.09, 40.13, 0.07,  93.5, 1.5
CTS1017     , 0.0354, 27.0, 0.98, 40.48, 0.04, 161.1, 1.5
CTS1018     , 0.0393, 30.9, 0.19, 40.45, 0.10,  57.9, 1.5
CTS1019     , 0.0665, 44.5, 0.24, 41.30, 0.04,  90.4, 1.5
CTS1020     , 0.0125, 34.6, 0.05, 40.52, 0.03, 108.9, 1.5
CTS1022     , 0.0137, 20.5, 0.19, 39.91, 0.07,  56.9, 1.5
F30         , 0.0034, 18.9, 0.04, 39.61, 0.07,  97.3, 1.5
MRK36       , 0.0021, 17.7, 0.05, 39.09, 0.05,  61.7, 1.5
UM439       , 0.0038, 17.6, 0.04, 39.40, 0.08,  48.9, 1.5
UM461       , 0.0035, 12.7, 0.05, 39.31, 0.07, 155.2, 1.5
UM463       , 0.0047, 16.7, 0.06, 39.04, 0.07,  73.8, 1.5
CTS1027     , 0.0067, 20.6, 0.04, 39.83, 0.02,  50.0, 1.5
MRK1318     , 0.0050, 17.1, 0.05, 39.98, 0.02,  68.2, 1.5
Tol1223-359 , 0.0093, 17.2, 0.06, 39.89, 0.03, 128.8, 1.5
UM570       , 0.0225, 21.3, 0.12, 40.11, 0.07, 180.3, 1.5
POX186      , 0.0042, 14.3, 0.05, 39.16, 0.03, 274.2, 1.5
CTS1035     , 0.0285, 26.0, 0.15, 40.07, 0.06,  62.1, 1.5
Cam1543+0907, 0.0377, 28.4, 0.05, 40.84, 0.07, 191.9, 1.5
Tol2146-391 , 0.0295, 24.5, 0.03, 40.29, 0.07, 245.5, 1.5
