name,lum,sig,oh,ewhb,ion,te,ne,chb,z,ref,type,class,sigobs,photobs,out
UM238,40.024,1.270,7.891,1.554,0.520,4.186,2.938,0.233,0.01427,1,Gaussian Profile,G,FEROS,B&C,0
mrk557,40.668,1.761,8.697,0.996,-0.715,4.146,2.573,0.383,0.01328,1,Irregular Profile,I,COUDÉ,B&C,0
UM304,41.546,1.893,0.000,0.000,0.000,4.146,2.309,0.000,0.01570,14,Profile with Components,C,COUDÉ,Others,0
cts1001,40.810,1.683,7.961,1.775,0.059,4.173,2.927,0.189,0.02263,1,Irregular Profile,I,FEROS,B&C,0
UM306,40.245,1.282,8.184,1.375,0.344,4.065,1.423,0.082,0.01649,1,Gaussian Profile,G,FEROS,B&C,0
UM307,41.196,1.693,8.432,1.353,-0.174,4.146,2.993,0.253,0.02249,1,Gaussian Profile,G,COUDÉ,B&C,0
UM323,39.781,1.254,7.918,1.320,-0.046,4.245,1.423,0.852,0.00648,1,Gaussian Profile,G',FEROS,B&C,0
Tol0127-397,40.721,1.548,0.000,0.000,0.000,4.146,2.309,0.000,0.01735,14,Gaussian Profile,G',FEROS,Others,0
Tol0140-420,40.348,1.422,8.057,1.748,0.297,4.106,1.423,0.000,0.02205,1,Profile with Components,C,FEROS,B&C,0
UM137,39.127,1.162,8.250,0.635,-0.257,4.146,1.423,0.371,0.00591,1,Gaussian Profile,G,FEROS,B&C,0
UM151,40.387,1.499,8.467,1.302,-0.101,4.146,1.973,0.412,0.01607,1,Gaussian Profile,G,FEROS,B&C,0
UM382,39.828,1.188,7.820,2.130,1.037,4.209,1.653,0.180,0.01206,6,Gaussian Profile,G,FEROS,Kniazev et al. 2001,0
ngc802,0.000,1.395,0.000,0.000,0.000,4.146,2.309,0.000,0.00490,0,Gaussian Profile,G,COUDÉ,Others,0
UM391,40.996,1.771,8.404,1.145,-0.451,4.146,1.423,0.536,0.02101,1,Profile with Components,C,FEROS,B&C,0
UM395,40.517,1.482,8.625,0.795,-0.375,4.146,2.763,0.487,0.02234,1,Gaussian Profile,G',FEROS,B&C,0
UM396,40.493,1.426,8.182,2.185,0.767,4.088,1.423,0.000,0.02078,1,Gaussian Profile,G',FEROS,B&C,0
UM408,39.732,1.285,8.022,1.513,0.563,4.125,2.316,0.062,0.01153,1,Gaussian Profile,G',FEROS,B&C,0
UM417,39.180,1.184,8.036,1.667,0.884,4.146,1.423,0.445,0.00872,1,Gaussian Profile,G',FEROS,B&C,1
Tol0226-390,41.886,1.954,8.147,2.059,0.481,4.065,2.285,0.309,0.04771,1,Irregular Profile,I,FEROS,B&C,0
CTS1003,40.105,1.401,7.900,0.000,0.000,4.146,2.309,0.000,0.01684,3,Gaussian Profile,G,FEROS,Others,0
ngc1076,40.090,1.527,8.257,0.378,-0.816,4.146,2.119,0.759,0.00686,1,Gaussian Profile,G,COUDÉ,B&C,0
Tol0242-387,43.107,1.986,8.230,0.000,0.000,4.146,2.309,0.000,0.12635,2,Irregular Profile,I,FEROS,Others,0
CTS1004,41.213,1.642,8.141,1.888,0.583,4.082,2.005,0.000,0.04734,1,Irregular Profile,I,FEROS,B&C,0
CTS1005,41.805,1.687,7.906,2.126,1.047,4.166,2.309,0.156,0.07441,1,Irregular Profile,I,FEROS,B&C,0
Tol0440-381,41.361,1.540,7.963,1.459,0.248,4.183,1.423,0.107,0.04082,1,Profile with Components,C,FEROS,B&C,0
CTS1006,41.220,1.568,8.039,1.844,0.459,4.106,1.423,0.155,0.02072,1,Gaussian Profile,G',FEROS,B&C,0
CTS1007,41.198,1.454,7.830,0.000,0.000,4.146,2.309,0.000,0.04130,33,Gaussian Profile,G',FEROS,Others,0
CTS1008,41.814,1.682,8.156,2.145,0.781,4.082,2.445,0.242,0.06106,1,Gaussian Profile,G',FEROS,B&C,0
Tol0505-387,40.546,1.321,8.498,0.983,-0.184,4.146,1.423,0.352,0.02897,1,Gaussian Profile,G',FEROS,B&C,1
Tol0510-400,41.212,1.497,8.254,1.806,0.378,4.146,2.357,0.191,0.04132,1,Gaussian Profile,G',FEROS,B&C,0
Tol0528-383,40.268,1.290,7.957,1.320,0.268,4.169,2.123,0.348,0.01163,1,Gaussian Profile,G',FEROS,B&C,0
IIZW40,40.171,1.525,8.073,2.264,1.041,4.118,2.336,0.606,0.00258,1,Irregular Profile,I,FEROS,B&C,0
Tol0559-393,41.525,1.684,0.000,0.000,0.000,4.146,2.309,0.000,0.04478,2,Gaussian Profile,G,FEROS,Others,0
Tol0610-387,39.552,1.302,8.556,0.603,-0.361,4.146,1.423,0.931,0.00575,1,Gaussian Profile,G,FEROS,B&C,0
TOL0614-375,42.008,1.685,7.857,0.000,0.000,4.146,2.309,0.000,0.03157,2,Gaussian Profile,G',FEROS,Others,0
Tol0633-415,41.091,1.486,8.144,1.919,0.661,4.098,1.823,0.403,0.01640,1,Gaussian Profile,G',FEROS,B&C,0
Tol0645-376,40.765,1.472,7.770,1.442,0.198,4.251,1.423,0.191,0.02579,1,Gaussian Profile,G',FEROS,B&C,0
MRK1201,40.834,1.663,9.356,0.912,-0.302,4.146,3.166,0.524,0.01857,1,Gaussian Profile,G,FEROS,B&C,1
Cam0840+1201,41.371,1.543,7.975,2.020,0.548,4.122,1.423,0.025,0.02938,1,Gaussian Profile,G',FEROS,B&C,0
Cam0840+1044,39.936,1.171,7.729,1.646,0.895,4.199,1.423,0.248,0.01044,1,Gaussian Profile,G',FEROS,B&C,0
Cam08-28A,42.144,1.707,8.125,1.568,0.205,4.046,1.985,0.277,0.05304,1,Irregular Profile,I,FEROS,B&C,0
MRK710,40.888,1.707,8.947,1.458,-0.635,4.146,2.266,0.500,0.00502,1,Profile with Components,C,FEROS,B&C,0
